Id,Label
64,Zoomless Maps: External Labeling Methods for the Interactive Exploration of Dense Point Sets at a Fixed Map Scale
65,A Fluid Flow Data Set for Machine Learning and its Application to Neural Flow Map Interpolation
66,A Suggestive Interface for Untangling Mathematical Knots
67,A Testing Environment for Continuous Colormaps
68,A Visualization Framework for Multi-scale Coherent Structures in Taylor-Couette Turbulence
69,Advanced Rendering of Line Data with Ambient Occlusion and Transparency
70,ChemVA: Interactive Visual Analysis of Chemical Compound Similarity in Virtual Screening
71,Data-Driven Space-Filling Curves
72,Deep Volumetric Ambient Occlusion
73,Direct Volume Rendering with Nonparametric Models of Uncertainty
74,Efficient and Flexible Hierarchical Data Layouts for a Unified Encoding of Scalar Field Precision and Resolution
75,Extraction and Visualization of Poincare Map Topology for Spacecraft Trajectory Design
76,Homomorphic-Encrypted Volume Rendering
77,Improving the Usability of Virtual Reality Neuron Tracing with Topological Elements
78,Interactive Black-Hole Visualization
79,Interactive Visual Study of Multiple Attributes Learning Model of X-Ray Scattering Images
80,Interactive Visualization of Atmospheric Effects for Celestial Bodies
81,IsoTrotter: Visually Guided Empirical Modelling of Atmospheric Convection
82,Localized Topological Simplification of Scalar Data
83,Mode Surfaces of Symmetric Tensor Fields: Topological Analysis and Seamless Extraction
84,Modeling in the Time of COVID-19: Statistical and Rule-based Mesoscale Models
85,Objective Observer-Relative Flow Visualization in Curved Spaces for Unsteady 2D Geophysical Flows
86,Polyphorm: Structural Analysis of Cosmological Datasets via Interactive Physarum Polycephalum Visualization
87,Ray Tracing Structured AMR Data Using ExaBricks
88,Sea of Genes: A Reflection on Visualising Metagenomic Data for Museums
89,"The Mixture Graph-A Data Structure for Compressing, Rendering, and Querying Segmentation Histograms"
90,TopoMap: A 0-dimensional Homology Preserving Projection of High-Dimensional Data
91,"Uncertainty in Continuous Scatterplots, Continuous Parallel Coordinates, and Fibers"
92,Uncertainty-Oriented Ensemble Data Visualization and Exploration using Variable Spatial Spreading
93,V2V: A Deep Learning Approach to Variable-to-Variable Selection and Translation for Multivariate Time-Varying Data
94,VC-Net: Deep Volume-Composition Networks for Segmentation and Visualization of Highly Sparse and Noisy Image Data
95,Visual Analysis of Large Multivariate Scattered Data using Clustering and Probabilistic Summaries
96,Visualization of Human Spine Biomechanics for Spinal Surgery
97,A Visual Analytics Approach for Ecosystem Dynamics based on Empirical Dynamic Modeling
98,"A Visual Analytics Approach for Exploratory Causal Analysis: Exploration, Validation, and Applications"
99,"A Visual Analytics Approach to Debugging Cooperative, Autonomous Multi-Robot SystemsÅf Worldviews"
